date	DADM6973_25103	DADM6974_25104	DADM6975_27465	DADM6981_25105	DADM6985_25106	DADM6990_16328
1707240824	2	4	4	2	2	4
1707240905	2	4	4	2	2	4
1707240930	2	4	4	2	2	4
1707240941	2	4	4	2	2	4
1707241000	2	4	4	2	2	4
1707241012	2	4	4	2	2	4
1707241023	2	4	4	2	2	4
1707241039	2	4	4	2	2	4
1707241047	2	4	4	2	2	4
1707241055	2	4	4	2	2	4
1707241129	2	4	4	2	2	4
1707241147	2	4	4	2	2	4
1707241221	2	4	4	2	2	4
1707241307	2	4	4	2	2	4
1707241415	2	4	4	2	2	4
1707241512	2	4	4	2	2	4
1707241556	2	4	4	2	2	4
1707241623	2	4	3	2	2	4
1707241717	2	4	3	2	2	4
1707241814	2	4	3	2	2	4
1707241848	2	4	3	2	2	4
1707242034	2	3	3	2	2	4
1707242132	2	3	3	2	2	4
1707242210	2	3	3	2	2	4
1707242307	2	3	3	2	2	4
1707242329	2	3	3	2	2	4
1707242343	2	3	3	2	2	4
1707250748	2	3	3	2	2	4
1707251027	2	3	3	2	1	3
1707251309	2	3	3	2	1	3
1707251351	2	3	3	2	1	3
1707251441	2	3	3	2	1	2
1707251521	2	3	3	2	1	2
1707251605	2	3	3	2	1	2
1707251658	2	3	3	2	1	2
1707251727	2	3	3	2	1	2
1707251900	2	3	3	2	1	2
1707251927	2	3	3	2	1	2
1707252025	2	3	3	2	1	2
1707252100	2	3	3	2	1	2
1707252124	2	3	3	2	1	2
1707252143	2	3	3	2	1	2
1707252259	2	3	3	2	1	2
1707252332	2	3	3	2	1	2
1707260820	2	3	3	2	1	2
1707261009	2	3	3	2	1	2
1707261047	2	3	3	2	1	2
1707261116	2	3	3	2	1	2
1707261144	2	3	3	2	1	2
1707261213	2	3	3	2	1	2
1707261257	2	3	3	2	1	2
1707261315	2	3	3	2	1	2
1707261354	2	3	3	2	1	2
1707261538	2	3	3	2	1	2
1707261603	2	3	3	2	1	2
1707261646	2	3	3	2	1	2
1707261709	2	3	3	2	1	2
1707261733	2	3	3	2	1	2
1707261807	2	3	3	2	1	2
1707261822	2	3	3	2	1	2
1707261842	2	3	3	2	1	2
1707261903	2	3	3	2	1	2
1707261944	2	3	3	2	1	2
1707262004	2	3	3	2	1	2
1707262107	2	3	3	2	1	2
1707262125	2	3	3	2	1	2
1707262142	2	3	3	2	1	2
1707262337	2	3	3	2	1	2
1707270001	2	3	3	2	1	2
1707270737	2	3	3	2	1	2
1707270816	2	3	3	2	1	2
1707270840	2	3	3	2	1	2
1707270903	2	3	3	2	1	2
1707271009	2	3	3	2	1	2
1707271027	2	3	3	2	1	2
1707271053	2	3	3	2	1	2
1707271136	2	3	3	2	1	2
1707271218	2	3	3	2	1	2
1707271250	2	3	3	2	1	2
1707271309	2	3	3	2	1	2
1707271338	2	3	3	2	1	2
1707271422	2	3	3	2	1	2
1707271448	2	3	3	2	1	2
1707271510	2	3	3	2	1	2
1707271544	2	3	3	2	1	2
1707271643	2	3	3	2	1	2
1707271704	2	3	3	2	1	2
1707271720	2	3	3	2	1	2
1707271802	2	3	3	2	1	2
1707272002	2	3	3	2	1	2
1707272150	2	3	3	2	1	2
1707272237	2	3	3	2	1	2
1707281100	2	3	3	2	1	2
1707281233	2	3	3	2	1	2
1707281457	2	3	3	2	1	2
1707281621	2	3	3	2	1	2
1707281911	2	3	3	2	1	2
