date	DPRO4102_26555	DPRO4202_26556	DPRO4203_26557	DPRO4301_26558	DPRO4304_26559	DPRO4400_25151
1707240824	50	40	40	40	40	0
1707240905	50	40	40	40	40	0
1707240930	50	40	40	40	40	0
1707240941	50	40	40	40	40	0
1707241000	50	40	40	40	40	0
1707241012	50	40	40	40	40	0
1707241023	50	40	40	40	40	0
1707241039	50	40	40	40	40	0
1707241047	49	38	38	40	39	0
1707241055	49	38	38	40	39	0
1707241129	48	38	37	40	38	0
1707241147	47	38	37	40	38	0
1707241221	45	37	36	40	37	0
1707241307	45	37	35	40	35	0
1707241415	40	36	35	39	32	0
1707241512	40	36	35	39	32	0
1707241556	38	34	34	39	32	0
1707241623	38	34	34	39	32	0
1707241717	38	34	34	39	32	0
1707241814	36	34	34	39	30	0
1707241848	36	34	34	39	30	0
1707242034	36	33	33	39	30	0
1707242132	36	33	33	39	30	0
1707242210	35	32	33	39	29	0
1707242307	34	31	32	39	29	0
1707242329	34	31	32	39	29	0
1707242343	34	31	32	39	29	0
1707250748	32	30	31	39	28	0
1707251027	31	30	31	39	28	0
1707251309	31	30	31	39	28	0
1707251351	31	30	31	39	28	0
1707251441	31	30	31	39	28	0
1707251521	30	30	31	39	28	0
1707251605	30	30	31	39	28	0
1707251658	30	30	31	39	28	0
1707251727	30	30	31	35	28	0
1707251900	19	30	27	34	26	0
1707251927	19	30	27	33	25	0
1707252025	18	30	26	34	25	0
1707252100	18	30	26	34	25	0
1707252124	18	30	26	34	25	0
1707252143	18	30	26	34	25	0
1707252259	18	30	26	34	25	0
1707252332	18	30	26	33	25	0
1707260820	18	30	26	33	25	0
1707261009	18	30	26	34	25	0
1707261047	18	30	26	34	25	0
1707261116	19	30	26	34	26	0
1707261144	18	30	26	33	24	0
1707261213	18	30	26	34	24	0
1707261257	18	30	26	34	24	0
1707261315	18	30	26	34	24	0
1707261354	18	30	26	34	24	0
1707261538	18	30	26	34	24	0
1707261603	18	30	26	34	24	0
1707261646	19	30	26	34	24	0
1707261709	19	30	26	34	24	0
1707261733	19	30	26	34	24	0
1707261807	19	30	26	34	24	0
1707261822	19	30	26	34	24	0
1707261842	19	30	26	34	24	0
1707261903	19	30	26	34	24	0
1707261944	19	30	26	34	24	0
1707262004	19	30	26	34	24	0
1707262107	19	30	26	34	24	0
1707262125	19	30	26	34	24	0
1707262142	19	30	26	34	23	0
1707262337	18	29	25	34	23	0
1707270001	18	29	25	34	23	0
1707270737	18	29	25	34	23	0
1707270816	18	29	25	34	23	0
1707270840	18	29	25	34	23	0
1707270903	18	29	25	34	23	0
1707271009	15	29	25	34	23	0
1707271027	15	28	25	34	23	0
1707271053	15	28	25	29	23	0
1707271136	14	27	25	29	23	0
1707271218	14	27	25	29	23	0
1707271250	14	27	25	29	23	0
1707271309	14	27	25	29	23	0
1707271338	14	27	25	29	23	0
1707271422	14	27	25	29	23	0
1707271448	14	27	25	29	23	0
1707271510	13	26	24	29	22	0
1707271544	13	26	24	29	22	0
1707271643	13	26	24	29	22	0
1707271704	13	26	24	29	22	0
1707271720	13	26	24	29	22	0
1707271802	12	26	24	29	22	0
1707272002	12	26	23	29	21	0
1707272150	12	26	23	29	21	0
1707272237	12	26	23	29	21	0
1707281100	12	26	23	29	21	-1
1707281233	12	26	23	29	21	-1
1707281457	12	26	23	29	21	-1
1707281621	12	26	23	29	21	-1
1707281911	12	26	23	29	21	-1
