date	EMAT4801_28540	EMAT4802_28541	EMAT4805_24200	EMAT4806_24201	EMAT4807_26684	EMAT4808_26685
1707240824	2	2	28	28	28	28
1707240905	2	2	28	28	28	28
1707240930	2	2	28	28	28	28
1707240941	2	2	28	28	28	28
1707241000	2	2	28	28	28	28
1707241012	2	2	28	28	28	28
1707241023	2	2	28	28	28	28
1707241039	2	2	28	28	28	28
1707241047	2	2	28	28	28	28
1707241055	2	2	28	28	28	28
1707241129	2	2	28	28	28	28
1707241147	2	2	27	27	28	28
1707241221	2	2	26	26	28	28
1707241307	2	2	26	26	28	28
1707241415	1	1	25	25	28	28
1707241512	1	1	25	25	28	28
1707241556	1	1	21	21	26	25
1707241623	1	1	21	21	25	25
1707241717	1	1	17	17	24	24
1707241814	1	1	17	17	24	24
1707241848	1	1	17	17	24	24
1707242034	1	1	15	15	20	20
1707242132	1	1	15	15	18	18
1707242210	1	1	15	15	17	17
1707242307	1	1	15	15	17	17
1707242329	1	1	15	15	17	17
1707242343	1	1	15	15	16	16
1707250748	1	1	14	14	15	15
1707251027	1	1	14	14	15	15
1707251309	1	1	14	14	15	15
1707251351	1	1	14	14	15	15
1707251441	1	1	14	14	15	15
1707251521	1	1	14	14	15	15
1707251605	1	1	13	13	15	15
1707251658	1	1	13	13	15	15
1707251727	1	1	13	13	15	15
1707251900	1	1	13	13	14	14
1707251927	1	1	13	13	13	13
1707252025	1	1	13	13	13	13
1707252100	1	1	13	13	13	13
1707252124	1	1	13	13	13	13
1707252143	1	1	13	13	13	13
1707252259	1	1	12	12	12	12
1707252332	1	1	12	12	12	12
1707260820	1	1	12	12	11	11
1707261009	1	1	12	12	11	11
1707261047	1	1	12	12	11	11
1707261116	1	1	12	12	11	11
1707261144	1	1	12	12	11	11
1707261213	1	1	12	12	11	11
1707261257	1	1	12	12	11	11
1707261315	1	1	12	12	11	11
1707261354	1	1	12	12	11	11
1707261538	1	1	12	12	11	11
1707261603	1	1	12	12	11	11
1707261646	1	1	12	12	11	11
1707261709	1	1	12	12	11	11
1707261733	1	1	11	11	10	10
1707261807	1	1	11	11	10	10
1707261822	1	1	11	11	10	10
1707261842	1	1	11	11	9	10
1707261903	1	1	11	11	9	9
1707261944	1	1	11	11	9	9
1707262004	1	1	11	11	9	9
1707262107	1	1	11	11	8	8
1707262125	1	1	11	11	8	8
1707262142	1	1	11	11	8	8
1707262337	1	1	11	11	8	8
1707270001	1	1	11	11	8	8
1707270737	1	1	11	11	8	8
1707270816	0	0	11	11	8	8
1707270840	0	0	11	11	8	8
1707270903	0	0	11	11	8	8
1707271009	0	0	11	11	8	8
1707271027	0	0	11	11	8	8
1707271053	0	0	11	11	8	8
1707271136	0	0	11	11	8	8
1707271218	0	0	11	11	8	8
1707271250	0	0	11	11	8	8
1707271309	0	0	11	11	8	8
1707271338	0	0	11	11	8	8
1707271422	0	0	11	11	8	8
1707271448	0	0	11	11	8	8
1707271510	0	0	11	11	8	8
1707271544	0	0	11	11	8	8
1707271643	0	0	11	11	8	8
1707271704	0	0	11	11	8	8
1707271720	0	0	11	11	8	8
1707271802	0	0	11	11	8	8
1707272002	0	0	11	11	8	8
1707272150	0	0	11	11	8	8
1707272237	0	0	11	11	8	8
1707281100	0	0	11	11	8	8
1707281233	0	0	11	11	8	8
1707281457	0	0	11	11	8	8
1707281621	0	0	11	11	8	8
1707281911	0	0	11	11	7	7
