date	MGAP4408_27126	MGAP4416_27127	MGAP4418_27128	MGAP4434_27129	MGAP4443_27130
1707240824	30	30	50	50	20
1707240905	30	30	50	50	20
1707240930	30	30	50	50	20
1707240941	30	30	50	50	20
1707241000	30	30	50	50	20
1707241012	30	30	50	50	20
1707241023	30	30	50	50	20
1707241039	30	30	50	50	20
1707241047	30	30	50	50	20
1707241055	30	30	50	50	20
1707241129	30	30	50	50	20
1707241147	29	28	48	48	20
1707241221	25	24	40	39	20
1707241307	24	24	40	38	20
1707241415	24	22	37	35	20
1707241512	24	21	36	34	20
1707241556	22	19	31	30	20
1707241623	22	18	31	30	20
1707241717	22	18	31	30	20
1707241814	22	16	29	28	20
1707241848	21	15	28	27	20
1707242034	21	14	27	25	20
1707242132	21	14	27	25	20
1707242210	20	14	26	24	20
1707242307	19	12	25	23	20
1707242329	19	12	25	23	20
1707242343	19	12	25	23	20
1707250748	16	12	24	22	20
1707251027	15	11	24	21	20
1707251309	14	11	24	21	20
1707251351	13	11	23	20	20
1707251441	13	11	23	20	20
1707251521	13	11	23	20	20
1707251605	13	11	23	20	20
1707251658	13	11	23	20	20
1707251727	13	11	23	20	20
1707251900	12	11	21	18	20
1707251927	12	11	21	18	20
1707252025	12	11	21	18	20
1707252100	12	11	21	18	20
1707252124	12	11	21	18	20
1707252143	12	11	21	18	20
1707252259	12	11	21	18	20
1707252332	12	11	21	18	20
1707260820	12	10	21	18	20
1707261009	12	10	21	18	20
1707261047	12	10	21	18	20
1707261116	12	10	21	18	20
1707261144	12	10	21	18	20
1707261213	11	10	20	17	20
1707261257	11	10	20	17	20
1707261315	11	10	20	17	20
1707261354	11	10	20	17	20
1707261538	11	9	17	17	20
1707261603	11	9	17	17	20
1707261646	11	9	17	17	20
1707261709	10	9	17	17	20
1707261733	10	9	17	17	20
1707261807	10	9	17	17	20
1707261822	10	9	17	17	20
1707261842	9	9	16	16	20
1707261903	9	9	16	16	20
1707261944	9	10	16	16	20
1707262004	9	10	16	16	20
1707262107	9	10	16	16	20
1707262125	9	10	16	16	20
1707262142	9	10	16	16	20
1707262337	9	10	16	16	20
1707270001	9	10	16	16	20
1707270737	9	10	16	16	20
1707270816	9	10	16	16	20
1707270840	9	10	16	16	20
1707270903	9	10	16	16	20
1707271009	9	10	16	16	20
1707271027	9	10	16	16	20
1707271053	9	10	16	16	20
1707271136	9	10	16	16	20
1707271218	9	10	16	16	20
1707271250	9	10	16	16	20
1707271309	9	9	16	16	20
1707271338	9	9	16	16	20
1707271422	9	9	16	16	20
1707271448	9	9	16	16	20
1707271510	9	9	16	16	20
1707271544	9	8	16	16	20
1707271643	10	6	16	16	20
1707271704	10	6	16	16	20
1707271720	10	6	16	16	20
1707271802	10	7	15	16	20
1707272002	10	7	15	16	20
1707272150	10	7	15	16	20
1707272237	10	7	15	16	20
1707281100	9	7	15	16	20
1707281233	9	6	15	15	20
1707281457	9	6	15	15	20
1707281621	9	6	15	15	20
1707281911	9	6	15	15	20
