date	MINE4005_24818	MINE4101_22182	MINE4102_22751	MINE4103_24819	MINE4201_24820	MINE4202_27157	MINE4302_28614
1707240824	0	30	30	30	30	25	10
1707240905	0	30	30	30	30	25	10
1707240930	0	30	30	30	30	25	10
1707240941	0	30	30	30	30	25	10
1707241000	0	30	30	30	30	25	10
1707241012	0	30	30	30	30	25	10
1707241023	0	30	30	30	30	25	10
1707241039	0	24	24	28	30	25	10
1707241047	0	23	24	28	30	25	10
1707241055	0	22	25	28	30	25	10
1707241129	0	20	23	28	30	25	10
1707241147	0	17	20	23	29	22	10
1707241221	0	15	18	20	27	20	10
1707241307	0	14	17	20	26	20	10
1707241415	0	8	10	13	22	12	10
1707241512	0	6	9	13	19	11	10
1707241556	0	6	7	9	17	10	10
1707241623	0	5	7	9	16	9	10
1707241717	0	3	7	9	17	9	10
1707241814	0	2	6	9	17	9	10
1707241848	0	2	4	7	17	8	10
1707242034	0	2	3	7	17	8	10
1707242132	0	2	3	7	17	8	10
1707242210	0	3	3	7	18	8	10
1707242307	0	3	3	7	18	8	10
1707242329	0	3	3	7	18	8	10
1707242343	0	3	3	7	18	8	10
1707250748	0	3	3	7	18	8	10
1707251027	0	3	3	7	16	8	0
1707251309	0	1	3	7	16	8	0
1707251351	0	1	3	7	16	8	0
1707251441	0	0	3	7	16	8	0
1707251521	0	0	3	6	16	8	0
1707251605	0	0	3	6	16	8	0
1707251658	0	0	3	6	16	8	0
1707251727	0	0	3	6	16	8	0
1707251900	0	0	3	6	16	8	0
1707251927	0	0	3	6	16	8	0
1707252025	0	0	3	6	16	8	0
1707252100	0	0	3	6	16	8	0
1707252124	0	0	3	6	16	8	0
1707252143	0	0	3	6	16	8	0
1707252259	0	0	3	5	16	7	0
1707252332	0	0	3	5	16	7	0
1707260820	0	0	3	5	16	7	0
1707261009	0	0	3	5	16	7	0
1707261047	0	0	3	5	16	7	0
1707261116	0	0	3	5	16	7	0
1707261144	0	0	3	5	16	7	0
1707261213	0	0	3	5	16	7	0
1707261257	0	0	3	5	16	7	0
1707261315	0	0	3	5	16	7	0
1707261354	0	0	3	5	16	7	0
1707261538	0	0	4	5	16	6	0
1707261603	0	0	4	5	16	6	0
1707261646	0	0	4	5	16	6	0
1707261709	0	0	4	5	16	6	0
1707261733	0	0	4	5	16	6	0
1707261807	0	0	4	5	16	6	0
1707261822	0	0	4	5	16	6	0
1707261842	0	0	4	5	16	6	0
1707261903	0	0	4	5	16	6	0
1707261944	0	0	4	5	16	6	0
1707262004	0	0	4	5	16	6	0
1707262107	0	0	4	5	16	6	0
1707262125	0	0	4	5	16	6	0
1707262142	0	0	4	5	16	6	0
1707262337	0	0	4	5	16	6	0
1707270001	0	0	4	5	16	6	0
1707270737	0	0	4	4	16	6	0
1707270816	0	0	4	4	16	6	0
1707270840	0	0	4	4	16	6	0
1707270903	0	0	4	4	16	6	0
1707271009	0	1	4	4	16	6	0
1707271027	0	1	4	4	16	6	0
1707271053	0	1	4	4	16	6	0
1707271136	0	1	4	4	16	6	0
1707271218	0	1	4	4	16	6	0
1707271250	0	1	4	4	16	6	0
1707271309	0	1	4	4	16	6	0
1707271338	0	1	4	4	16	6	0
1707271422	0	1	4	4	16	6	0
1707271448	0	1	4	4	16	6	0
1707271510	0	1	5	4	16	6	0
1707271544	0	1	5	4	16	6	0
1707271643	0	1	5	4	16	6	0
1707271704	0	1	5	4	16	6	0
1707271720	0	1	5	4	16	6	0
1707271802	0	1	5	4	16	6	0
1707272002	0	0	4	4	16	6	0
1707272150	0	0	4	4	16	6	0
1707272237	0	0	4	4	16	6	0
1707281100	0	0	4	5	16	6	0
1707281233	0	0	4	5	16	6	0
1707281457	0	0	4	5	16	6	0
1707281621	0	0	3	5	16	6	0
1707281911	0	0	0	5	16	6	0
