date	MPAZ4000_28085	MPAZ4100_28089	MPAZ4200_28091	MPAZ4300_28092	MPAZ4400_28097	MPAZ4600_27175
1707240824	25	40	40	20	20	40
1707240905	25	40	40	20	20	40
1707240930	25	40	40	20	20	40
1707240941	25	40	40	20	20	40
1707241000	25	40	40	20	20	40
1707241012	25	40	40	20	20	40
1707241023	25	40	40	20	20	40
1707241039	23	37	39	20	20	40
1707241047	23	37	39	20	20	40
1707241055	23	37	39	20	20	40
1707241129	19	34	38	20	20	39
1707241147	19	32	30	18	20	37
1707241221	17	31	29	17	16	37
1707241307	15	29	29	17	16	37
1707241415	14	27	24	15	15	34
1707241512	14	25	21	13	15	34
1707241556	14	25	19	12	15	33
1707241623	13	24	17	11	15	33
1707241717	12	23	17	10	15	33
1707241814	12	23	17	10	15	33
1707241848	12	23	17	10	15	33
1707242034	12	23	17	10	13	33
1707242132	10	22	15	10	13	33
1707242210	9	22	16	10	13	31
1707242307	8	22	16	10	13	31
1707242329	8	22	16	10	13	31
1707242343	8	22	16	10	13	31
1707250748	8	22	16	10	13	31
1707251027	8	22	16	8	11	31
1707251309	6	20	16	8	11	30
1707251351	6	20	16	8	11	30
1707251441	6	20	16	8	11	30
1707251521	6	20	16	8	11	30
1707251605	6	20	16	8	11	30
1707251658	6	20	16	8	11	30
1707251727	6	20	16	8	11	30
1707251900	6	20	15	8	11	29
1707251927	6	20	15	8	11	29
1707252025	6	20	15	8	11	29
1707252100	6	20	15	8	11	28
1707252124	6	20	15	8	11	28
1707252143	6	20	15	8	11	28
1707252259	5	19	15	8	11	28
1707252332	5	19	15	8	11	28
1707260820	5	19	15	8	11	28
1707261009	5	19	15	7	11	28
1707261047	5	19	15	7	11	28
1707261116	5	19	15	7	11	28
1707261144	5	19	15	7	11	28
1707261213	5	19	15	7	11	28
1707261257	5	15	12	7	11	28
1707261315	5	15	12	7	11	28
1707261354	5	15	12	7	11	28
1707261538	4	14	12	6	10	28
1707261603	4	14	12	6	10	28
1707261646	4	14	12	6	10	28
1707261709	4	14	12	6	10	28
1707261733	4	14	12	6	10	28
1707261807	4	14	12	6	10	28
1707261822	4	14	12	6	10	28
1707261842	4	14	12	6	10	28
1707261903	4	14	12	6	10	28
1707261944	4	14	12	6	10	28
1707262004	4	14	12	6	10	28
1707262107	4	14	12	4	10	27
1707262125	4	14	12	4	10	27
1707262142	4	14	12	4	10	26
1707262337	4	14	10	3	11	25
1707270001	4	14	10	3	11	25
1707270737	4	14	10	2	11	25
1707270816	4	14	10	2	11	25
1707270840	4	14	10	2	11	25
1707270903	4	14	10	2	11	25
1707271009	4	10	9	2	11	24
1707271027	4	10	9	2	11	24
1707271053	4	10	9	2	11	24
1707271136	4	10	9	2	11	24
1707271218	4	11	9	2	11	24
1707271250	4	11	9	2	11	24
1707271309	4	11	9	2	11	24
1707271338	4	11	9	2	11	24
1707271422	4	11	9	2	11	24
1707271448	4	11	9	2	11	24
1707271510	4	11	9	2	11	24
1707271544	4	11	9	2	11	24
1707271643	4	11	9	2	11	22
1707271704	4	11	9	2	11	22
1707271720	4	11	9	2	11	22
1707271802	4	11	9	2	11	22
1707272002	4	11	9	2	11	22
1707272150	4	11	9	2	11	22
1707272237	4	11	9	2	11	22
1707281100	4	10	9	2	11	22
1707281233	4	6	2	2	11	22
1707281457	4	6	2	2	11	22
1707281621	4	6	2	2	11	22
1707281911	4	6	2	2	11	22
