date	MPET4101_27860	MPET4103_27862	MPET4210_27863	MPET4301_27864	MPET4500_27867	MPET4501_27865	MPET4901_28616
1707240824	60	45	50	45	45	30	0
1707240905	60	45	50	45	45	30	0
1707240930	60	45	50	45	45	30	0
1707240941	60	45	50	45	45	30	0
1707241000	60	45	50	45	45	30	0
1707241012	60	45	50	45	45	30	0
1707241023	60	45	50	45	45	30	0
1707241039	58	44	46	44	44	29	0
1707241047	57	43	46	42	43	26	0
1707241055	57	43	46	42	42	25	0
1707241129	52	43	40	40	42	24	0
1707241147	48	41	34	39	32	24	0
1707241221	44	39	30	36	27	24	0
1707241307	44	39	29	34	26	24	0
1707241415	31	33	16	32	11	23	0
1707241512	25	28	8	30	8	22	0
1707241556	24	26	6	30	7	22	0
1707241623	22	24	6	30	6	22	0
1707241717	21	23	5	29	6	22	0
1707241814	21	23	5	29	6	22	0
1707241848	20	23	4	29	6	22	0
1707242034	20	22	4	28	6	22	0
1707242132	20	21	4	28	6	22	0
1707242210	20	21	4	27	5	22	0
1707242307	20	21	4	27	5	22	0
1707242329	20	21	4	27	5	22	0
1707242343	20	21	4	27	5	22	0
1707250748	20	21	3	27	4	22	0
1707251027	18	21	2	24	3	22	-1
1707251309	16	18	0	24	3	22	-1
1707251351	16	18	0	24	3	22	-1
1707251441	16	18	0	24	3	22	-1
1707251521	16	15	0	22	3	22	-1
1707251605	16	15	0	22	2	22	-1
1707251658	16	15	0	22	2	22	-1
1707251727	16	15	0	22	2	22	-1
1707251900	16	14	0	21	1	21	-1
1707251927	16	14	0	21	1	21	-1
1707252025	16	14	0	21	1	21	-1
1707252100	16	14	0	21	1	21	-1
1707252124	16	14	0	21	1	21	-1
1707252143	16	14	0	21	1	21	-1
1707252259	16	14	0	21	1	21	-1
1707252332	16	14	0	21	1	21	-1
1707260820	16	14	0	21	1	21	-1
1707261009	16	13	0	20	1	21	-1
1707261047	16	13	0	20	1	21	-1
1707261116	16	12	0	19	0	19	-1
1707261144	16	12	0	19	0	19	-1
1707261213	16	12	0	19	0	19	-1
1707261257	16	12	0	19	0	19	-1
1707261315	16	12	0	19	0	19	-1
1707261354	16	12	0	19	0	19	-1
1707261538	16	12	0	19	0	19	-1
1707261603	16	12	0	19	0	19	-1
1707261646	16	12	0	19	1	19	-1
1707261709	16	12	0	19	1	19	-1
1707261733	16	12	0	19	1	19	-1
1707261807	16	12	0	19	1	19	-1
1707261822	16	12	0	19	1	19	-1
1707261842	16	12	0	19	1	19	-1
1707261903	16	12	0	19	1	19	-1
1707261944	16	12	0	19	1	19	-1
1707262004	16	12	0	19	1	19	-1
1707262107	16	12	0	19	2	19	-1
1707262125	16	12	0	19	2	19	-1
1707262142	16	12	0	19	2	19	-1
1707262337	16	12	0	19	2	19	-1
1707270001	16	12	0	19	2	19	-1
1707270737	16	12	0	20	2	19	-1
1707270816	16	12	0	20	2	19	-1
1707270840	16	12	0	20	2	19	-1
1707270903	16	12	0	20	2	19	-1
1707271009	16	12	0	20	3	19	-1
1707271027	16	12	0	20	3	19	-1
1707271053	16	12	0	20	3	19	-1
1707271136	16	12	-1	20	3	19	-1
1707271218	16	12	-1	20	3	19	-1
1707271250	16	12	-1	20	3	19	-1
1707271309	16	12	-1	20	3	19	-1
1707271338	16	12	-1	20	3	19	-1
1707271422	16	12	-1	20	3	19	-1
1707271448	16	12	-1	20	3	19	-1
1707271510	16	12	-1	19	3	18	-1
1707271544	15	12	-1	19	3	18	-1
1707271643	15	12	-1	19	3	18	-1
1707271704	15	12	-1	19	3	18	-1
1707271720	15	12	-1	19	3	18	-1
1707271802	15	12	-1	19	3	18	-1
1707272002	15	12	-1	19	3	18	-1
1707272150	15	12	-1	19	3	18	-1
1707272237	15	12	-1	19	3	18	-1
1707281100	15	12	-1	19	3	18	-1
1707281233	15	12	-2	19	3	18	-1
1707281457	15	12	-2	19	3	18	-1
1707281621	13	11	-2	18	3	18	-1
1707281911	13	11	-3	18	3	18	-1
