date	SOCI1000B_27262	SOCI1001B_19767	SOCI1009B_27263
1707240824	57	57	46
1707240905	57	56	46
1707240930	57	56	46
1707240941	57	55	45
1707241000	57	55	45
1707241012	57	55	45
1707241023	57	55	45
1707241039	57	55	44
1707241047	57	55	43
1707241055	57	55	43
1707241129	57	54	43
1707241147	57	54	43
1707241221	57	54	43
1707241307	57	54	43
1707241415	57	54	41
1707241512	54	53	41
1707241556	54	53	41
1707241623	54	52	40
1707241717	53	52	38
1707241814	53	51	38
1707241848	53	51	38
1707242034	53	51	38
1707242132	53	51	38
1707242210	53	51	38
1707242307	53	52	38
1707242329	53	52	38
1707242343	53	52	38
1707250748	54	52	38
1707251027	48	48	35
1707251309	39	48	34
1707251351	0	0	0
1707251441	34	47	33
1707251521	33	44	30
1707251605	31	41	30
1707251658	24	39	28
1707251727	24	40	28
1707251900	24	40	28
1707251927	24	40	28
1707252025	24	40	28
1707252100	24	40	28
1707252124	24	40	28
1707252143	24	40	28
1707252259	24	40	28
1707252332	24	39	28
1707260820	21	38	28
1707261009	5	34	24
1707261047	3	32	22
1707261116	0	29	21
1707261144	0	28	20
1707261213	0	28	20
1707261257	0	28	19
1707261315	0	28	19
1707261354	0	28	19
1707261538	0	24	18
1707261603	0	24	16
1707261646	0	19	14
1707261709	0	18	13
1707261733	0	18	13
1707261807	0	18	13
1707261822	0	18	13
1707261842	0	19	13
1707261903	0	19	13
1707261944	0	19	13
1707262004	0	18	13
1707262107	0	18	13
1707262125	0	18	13
1707262142	0	18	13
1707262337	0	18	13
1707270001	0	16	11
1707270737	0	16	11
1707270816	0	16	11
1707270840	0	15	11
1707270903	0	15	11
1707271009	0	15	11
1707271027	0	15	11
1707271053	0	15	10
1707271136	0	16	10
1707271218	0	16	10
1707271250	0	16	9
1707271309	0	16	9
1707271338	0	16	9
1707271422	0	16	7
1707271448	0	16	7
1707271510	0	16	7
1707271544	0	16	7
1707271643	0	15	7
1707271704	0	15	7
1707271720	0	15	7
1707271802	0	15	7
1707272002	0	15	7
1707272150	0	15	7
1707272237	0	15	7
1707281100	0	15	7
1707281233	0	15	7
1707281457	0	15	8
1707281621	0	15	8
1707281911	0	0	0
